"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "comment", "blank", "total"
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\.prettierrc", "JSON", 0, 0, 19, 0, 0, 0, 0, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\README.md", "Markdown", 0, 0, 0, 68, 0, 2, 29, 99
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 32, 1, 1, 34
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\nest-cli.json", "JSON", 0, 0, 8, 0, 0, 0, 1, 9
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\package-lock.json", "JSON", 0, 0, 13129, 0, 0, 0, 1, 13130
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\package.json", "JSON", 0, 0, 87, 0, 0, 0, 1, 88
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\app.controller.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 5, 23
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\app.controller.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 3, 17
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\app.module.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 2, 32
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\app.service.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 2, 9
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\auth\auth.controller.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 5, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\auth\auth.controller.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 3, 15
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\auth\auth.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 2, 12
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\auth\auth.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 5, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\auth\auth.service.ts", "TypeScript", 0, 23, 0, 0, 0, 3, 7, 33
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\auth\dto\login.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 2, 9
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\devices.controller.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 5, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\devices.controller.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 6, 29
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\devices.module.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 2, 14
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\devices.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 5, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\devices.service.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 7, 49
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\dto\create-device.dto.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 14, 43
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\devices\entities\device.entity.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 16, 50
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\events\events.gateway.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 5, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\events\events.gateway.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 7, 34
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\events\events.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 2, 11
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\main.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 3, 15
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\mqtt\mqtt.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 2, 12
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\mqtt\mqtt.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 5, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\mqtt\mqtt.service.ts", "TypeScript", 0, 61, 0, 0, 0, 1, 13, 75
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\test\app.e2e-spec.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 5, 26
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\test\jest-e2e.json", "JSON", 0, 0, 9, 0, 0, 0, 1, 10
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\tsconfig.build.json", "JSON", 0, 0, 4, 0, 0, 0, 1, 5
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\tsconfig.json", "JSON with Comments", 22, 0, 0, 0, 0, 0, 1, 23
"Total", "-", 22, 485, 13256, 68, 32, 7, 169, 14039
